tweet_id,timestamp,text,expanded_urls,rating_numerator,rating_denominator,name,source_url,source_name,dog_stage,favorite_count,retweet_count,rating,jpg_url,predicted_breed
892420643555336193,2017-08-01 16:23:56+00:00,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13,10,Phineas,http://twitter.com/download/iphone,Twitter for iPhone,,36240,7712,13/10,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,
892177421306343426,2017-08-01 00:17:27+00:00,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,Tilly,http://twitter.com/download/iphone,Twitter for iPhone,,31261,5700,13/10,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,chihuahua
891815181378084864,2017-07-31 00:18:03+00:00,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,Archie,http://twitter.com/download/iphone,Twitter for iPhone,,23535,3779,12/10,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,chihuahua
891689557279858688,2017-07-30 15:58:51+00:00,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13,10,Darla,http://twitter.com/download/iphone,Twitter for iPhone,,39538,7877,13/10,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,labrador_retriever
891327558926688256,2017-07-29 16:00:24+00:00,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",https://twitter.com/dog_rates/status/891327558926688256/photo/1,12,10,Franklin,http://twitter.com/download/iphone,Twitter for iPhone,,37755,8484,12/10,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,basset
891087950875897856,2017-07-29 00:08:17+00:00,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13,10,None,http://twitter.com/download/iphone,Twitter for iPhone,,19014,2844,13/10,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,chesapeake_bay_retriever
890971913173991426,2017-07-28 16:27:12+00:00,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl","https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13,10,Jax,http://twitter.com/download/iphone,Twitter for iPhone,,11076,1851,13/10,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,appenzeller
890729181411237888,2017-07-28 00:22:40+00:00,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,https://twitter.com/dog_rates/status/890729181411237888/photo/1,13,10,None,http://twitter.com/download/iphone,Twitter for iPhone,,61069,17210,13/10,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,pomeranian
890609185150312448,2017-07-27 16:25:51+00:00,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,Zoey,http://twitter.com/download/iphone,Twitter for iPhone,,26177,3916,13/10,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,irish_terrier
890240255349198849,2017-07-26 15:59:51+00:00,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,Cassie,http://twitter.com/download/iphone,Twitter for iPhone,doggo,29912,6702,14/10,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,pembroke
